epoch,lr,seconds,train_threshold,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_kappa,train_tp,train_tn,train_fp,train_fn,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_kappa,val_tp,val_tn,val_fp,val_fn,val_auc,val_ap,val_best_threshold
1,9.939057285945933e-05,0.597,0.5,0.65,0.6219512195121951,0.5666666666666667,0.7181818181818181,0.5930232558139535,0.28716904276985744,51,79,31,39,0.5766818273067474,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5488,0.6330952496053086,0.05
2,9.757729755661012e-05,0.351,0.5,0.87,0.9130434782608695,0.8235294117647058,0.9183673469387755,0.865979381443299,0.7404153354632588,84,90,8,18,0.2706320780515671,0.4413636363636363,0.62,0.575,0.92,0.32,0.7076923076923077,0.24,23,8,17,2,0.5504,0.516935609148875,0.4413636363636363
3,9.460482294732422e-05,0.342,0.5,0.92,0.8842105263157894,0.9438202247191011,0.9009009009009009,0.9130434782608695,0.8391151332327803,84,100,11,5,0.18561516769230366,0.29818181818181816,0.54,0.5208333333333334,1.0,0.08,0.684931506849315,0.08000000000000007,25,2,23,0,0.5312,0.5435685459145079,0.29818181818181816
4,9.054634122155992e-05,0.352,0.5,0.975,0.9897959183673469,0.9603960396039604,0.98989898989899,0.9748743718592964,0.9500099980003999,97,98,1,4,0.08040734518319369,0.4699999999999999,0.56,0.5348837209302325,0.92,0.2,0.6764705882352942,0.1200000000000001,23,5,20,2,0.5552,0.5566464645674505,0.4699999999999999
5,8.550178566873411e-05,0.346,0.5,0.985,0.98,0.98989898989899,0.9801980198019802,0.9849246231155778,0.97,98,99,2,1,0.05260270990431309,0.10727272727272727,0.56,0.5384615384615384,0.84,0.28,0.6562499999999999,0.1200000000000001,21,7,18,4,0.5424,0.553135199440907,0.10727272727272727
6,7.959536998847744e-05,0.341,0.5,0.985,1.0,0.9743589743589743,1.0,0.9870129870129869,0.9692685925015365,114,83,0,3,0.07184045263566077,0.14545454545454545,0.58,0.55,0.88,0.28,0.676923076923077,0.15999999999999992,22,7,18,3,0.5376,0.5566161396140036,0.14545454545454545
7,7.297252973710758e-05,0.341,0.5,0.98,0.970873786407767,0.9900990099009901,0.9696969696969697,0.9803921568627452,0.9599879963989196,100,96,3,1,0.04736821179278195,0.575,0.56,0.5365853658536586,0.88,0.24,0.6666666666666667,0.1200000000000001,22,6,19,3,0.5648,0.5702445293908726,0.575
8,6.579634122155991e-05,0.343,0.5,0.995,1.0,0.9902912621359223,1.0,0.9951219512195122,0.9899939963978387,102,97,0,1,0.01568713922984898,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5632,0.5622068614870214,0.05
9,5.824350601949144e-05,0.347,0.5,0.965,0.9805825242718447,0.9528301886792453,0.9787234042553191,0.9665071770334929,0.9298737727910238,101,92,2,5,0.06702527816640214,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5648,0.5759873727393847,0.05
10,5.050000000000001e-05,0.349,0.5,0.975,0.946236559139785,1.0,0.9553571428571429,0.9723756906077349,0.9495764421137555,88,107,5,0,0.048530278583057224,0.5845454545454545,0.52,0.5102040816326531,1.0,0.04,0.6756756756756758,0.040000000000000036,25,1,24,0,0.5424,0.5520579667950042,0.5845454545454545
11,4.275649398050859e-05,0.348,0.5,0.99,0.9897959183673469,0.9897959183673469,0.9901960784313726,0.9897959183673469,0.9799919967987195,97,101,1,1,0.03477029509143904,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.528,0.5447689793046446,0.05
12,3.520365877844011e-05,0.344,0.5,0.96,0.9326923076923077,0.9897959183673469,0.9313725490196079,0.9603960396039605,0.9200639488409272,97,95,7,1,0.0887648730748333,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5376,0.5460551373183129,0.05
13,2.8027470262892444e-05,0.352,0.5,1.0,1.0,1.0,1.0,1.0,1.0,104,96,0,0,0.024225776623934506,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5648,0.5739402642363329,0.05
14,2.1404630011522593e-05,0.352,0.5,1.0,1.0,1.0,1.0,1.0,1.0,105,95,0,0,0.01062125585740432,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5568,0.5566347940037456,0.05
